Sid,Date,Close
FIBBG000B9XRY4,2023-01-03,124.2163
FIBBG000B9XRY4,2023-01-04,125.4975
FIBBG000B9XRY4,2023-01-05,124.1666
FIBBG000B9XRY4,2023-01-06,128.7352
FIBBG000B9XRY4,2023-01-09,129.2616
FIBBG000B9XRY4,2023-01-10,129.8377
FIBBG000B9XRY4,2023-01-11,132.5788
FIBBG000B9XRY4,2023-01-12,132.4994
FIBBG000B9XRY4,2023-01-13,133.8402
FIBBG000B9XRY4,2023-01-17,135.0121
FIBBG000B9XRY4,2023-01-18,134.2871
FIBBG000B9XRY4,2023-01-19,134.3467
FIBBG000B9XRY4,2023-01-20,136.9289
FIBBG000B9XRY4,2023-01-23,140.1468
FIBBG000B9XRY4,2023-01-24,141.5571
FIBBG000B9XRY4,2023-01-25,140.8917
FIBBG000B9XRY4,2023-01-26,142.9774
FIBBG000B9XRY4,2023-01-27,144.9339
FIBBG000B9XRY4,2023-01-30,142.0239
FIBBG000B9XRY4,2023-01-31,143.3051
FIBBG000B9XRY4,2023-02-01,144.4373
FIBBG000B9XRY4,2023-02-02,149.7905
FIBBG000B9XRY4,2023-02-03,153.4454
FIBBG000B9XRY4,2023-02-06,150.6943
FIBBG000B9XRY4,2023-02-07,153.5944
FIBBG000B9XRY4,2023-02-08,150.883
FIBBG000B9XRY4,2023-02-09,149.8402
FIBBG000B9XRY4,2023-02-10,150.2082
FIBBG000B9XRY4,2023-02-13,153.0332
FIBBG000B9XRY4,2023-02-14,152.3866
FIBBG000B9XRY4,2023-02-15,154.5053
FIBBG000B9XRY4,2023-02-16,152.8939
FIBBG000B9XRY4,2023-02-17,151.7401
FIBBG000B9XRY4,2023-02-21,147.6917
FIBBG000B9XRY4,2023-02-22,148.1194
FIBBG000B9XRY4,2023-02-23,148.6068
FIBBG000B9XRY4,2023-02-24,145.9311
FIBBG000B9XRY4,2023-02-27,147.1346
FIBBG000B9XRY4,2023-02-28,146.6273
FIBBG000B9XRY4,2023-03-01,144.5385
FIBBG000B9XRY4,2023-03-02,145.1353
FIBBG000B9XRY4,2023-03-03,150.2281
FIBBG000B9XRY4,2023-03-06,153.0133
FIBBG000B9XRY4,2023-03-07,150.7951
FIBBG000B9XRY4,2023-03-08,152.0584
FIBBG000B9XRY4,2023-03-09,149.7905
FIBBG000B9XRY4,2023-03-10,147.7116
FIBBG000B9XRY4,2023-03-13,149.6711
FIBBG000B9XRY4,2023-03-14,151.7798
FIBBG000B9XRY4,2023-03-15,152.1777
FIBBG000B9XRY4,2023-03-16,155.0225
FIBBG000B9XRY4,2023-03-17,154.177
FIBBG000B9XRY4,2023-03-20,156.5643
FIBBG000B9XRY4,2023-03-21,158.4343
FIBBG000B9XRY4,2023-03-22,156.992
FIBBG000B9XRY4,2023-03-23,158.0862
FIBBG000B9XRY4,2023-03-24,159.3992
FIBBG000B9XRY4,2023-03-27,157.4396
FIBBG000B9XRY4,2023-03-28,156.813
FIBBG000B9XRY4,2023-03-29,159.9164
FIBBG000B9XRY4,2023-03-30,161.498
FIBBG000B9XRY4,2023-03-31,164.0245
FIBBG000B9XRY4,2023-04-03,165.2877
FIBBG000B9XRY4,2023-04-04,164.7506
FIBBG000B9XRY4,2023-04-05,162.8905
FIBBG000B9XRY4,2023-04-06,163.7858
FIBBG000B9XRY4,2023-04-10,161.1697
FIBBG000B9XRY4,2023-04-11,159.9463
FIBBG000B9XRY4,2023-04-12,159.25
FIBBG000B9XRY4,2023-04-13,164.681
FIBBG000B9XRY4,2023-04-14,164.3328
FIBBG000B9XRY4,2023-04-17,164.3527
FIBBG000B9XRY4,2023-04-18,165.5861
FIBBG000B9XRY4,2023-04-19,166.74
FIBBG000B9XRY4,2023-04-20,165.7652
FIBBG000B9XRY4,2023-04-21,164.1438
FIBBG000B9XRY4,2023-04-24,164.4522
FIBBG000B9XRY4,2023-04-25,162.9005
FIBBG000B9XRY4,2023-04-26,162.8905
FIBBG000B9XRY4,2023-04-27,167.5158
FIBBG000B9XRY4,2023-04-28,168.7791
FIBBG000B9XRY4,2023-05-01,168.6896
FIBBG000B9XRY4,2023-05-02,167.6452
FIBBG000B9XRY4,2023-05-03,166.5609
FIBBG000B9XRY4,2023-05-04,164.9098
FIBBG000B9XRY4,2023-05-05,172.6485
FIBBG000B9XRY4,2023-05-08,172.5788
FIBBG000B9XRY4,2023-05-09,170.858
FIBBG000B9XRY4,2023-05-10,172.6335
FIBBG000B9XRY4,2023-05-11,172.8275
FIBBG000B9XRY4,2023-05-12,171.8912
FIBBG000B9XRY4,2023-05-15,171.3932
FIBBG000B9XRY4,2023-05-16,171.3932
FIBBG000B9XRY4,2023-05-17,172.0107
FIBBG000B9XRY4,2023-05-18,174.3614
FIBBG000B9XRY4,2023-05-19,174.471
FIBBG000B9XRY4,2023-05-22,173.5148
FIBBG000B9XRY4,2023-05-23,170.8852
FIBBG000B9XRY4,2023-05-24,171.1641
FIBBG000B9XRY4,2023-05-25,172.3095
FIBBG000B9XRY4,2023-05-26,174.7399
FIBBG000B9XRY4,2023-05-30,176.6026
FIBBG000B9XRY4,2023-05-31,176.5528
FIBBG000B9XRY4,2023-06-01,179.3816
FIBBG000B9XRY4,2023-06-02,180.2382
FIBBG000B9XRY4,2023-06-05,178.8736
FIBBG000B9XRY4,2023-06-06,178.5051
FIBBG000B9XRY4,2023-06-07,177.1205
FIBBG000B9XRY4,2023-06-08,179.8597
FIBBG000B9XRY4,2023-06-09,180.2482
FIBBG000B9XRY4,2023-06-12,183.0671
FIBBG000B9XRY4,2023-06-13,182.5889
FIBBG000B9XRY4,2023-06-14,183.2264
FIBBG000B9XRY4,2023-06-15,185.2783
FIBBG000B9XRY4,2023-06-16,184.1926
FIBBG000B9XRY4,2023-06-20,184.2823
FIBBG000B9XRY4,2023-06-21,183.2364
FIBBG000B9XRY4,2023-06-22,186.2644
FIBBG000B9XRY4,2023-06-23,185.9457
FIBBG000B9XRY4,2023-06-26,184.5412
FIBBG000B9XRY4,2023-06-27,187.3203
FIBBG000B9XRY4,2023-06-28,188.5056
FIBBG000B9XRY4,2023-06-29,188.8442
FIBBG000B9XRY4,2023-06-30,193.207
FIBBG000B9XRY4,2023-07-03,191.703
FIBBG000B9XRY4,2023-07-05,190.5774
FIBBG000B9XRY4,2023-07-06,191.0555
FIBBG000B9XRY4,2023-07-07,189.93
FIBBG000B9XRY4,2023-07-10,187.8681
